date,temperature,humidity,luminosity
2021-11-17 15:14:30.925,21.9,31.2,23
2021-11-17 15:14:29.426,21.9,31.2,23
2021-11-17 15:14:27.898,21.9,31.8,23
2021-11-17 15:14:26.395,21.9,31.8,23
2021-11-17 15:14:24.867,22.0,32.6,23
2021-11-17 15:14:23.363,22.0,32.6,24
2021-11-17 15:14:21.836,22.0,33.6,24
2021-11-17 15:14:20.332,22.0,33.6,24
2021-11-17 15:14:18.804,22.0,34.9,24
2021-11-17 15:14:17.301,22.0,34.9,23
2021-11-17 15:14:15.773,22.0,36.4,24
2021-11-17 15:14:14.270,22.0,36.4,22
2021-11-17 15:14:12.741,22.0,37.9,24
2021-11-17 15:14:11.238,22.0,37.9,23
2021-11-17 15:14:09.710,22.1,39.9,23
2021-11-17 15:14:08.211,22.1,39.9,22
2021-11-17 15:14:06.679,22.1,42.1,22
2021-11-17 15:14:05.180,22.1,42.1,22
2021-11-17 15:14:03.652,22.1,44.8,24
2021-11-17 15:14:02.149,22.1,44.8,24
2021-11-17 15:14:00.620,22.1,47.9,24
2021-11-17 15:13:59.117,22.1,47.9,24
2021-11-17 15:13:57.589,22.1,50.7,24
2021-11-17 15:13:56.086,22.1,50.7,24
2021-11-17 15:13:54.558,22.1,53.4,24
2021-11-17 15:13:53.055,22.1,53.4,24
2021-11-17 15:13:51.527,22.1,56.2,24
2021-11-17 15:13:50.023,22.1,56.2,24
2021-11-17 15:13:48.496,22.1,60.0,24
2021-11-17 15:13:46.992,22.1,60.0,24
2021-11-17 15:13:45.464,22.0,66.4,24
2021-11-17 15:13:43.961,22.0,66.4,24
2021-11-17 15:13:42.433,22.0,72.9,24
2021-11-17 15:13:40.933,22.0,72.9,24
2021-11-17 15:13:39.401,21.9,82.6,24
2021-11-17 15:13:37.902,21.9,82.6,24
2021-11-17 15:13:36.374,21.9,91.9,24
2021-11-17 15:13:34.871,21.9,91.9,24
2021-11-17 15:13:33.343,22.0,99.9,24
2021-11-17 15:13:31.840,22.0,99.9,24
2021-11-17 15:13:30.312,22.1,99.9,24
2021-11-17 15:13:28.808,22.1,99.9,24
2021-11-17 15:13:27.280,22.2,99.9,24
2021-11-17 15:13:25.777,22.2,99.9,24
2021-11-17 15:13:24.249,22.4,99.9,24
2021-11-17 15:13:22.746,22.4,99.9,24
2021-11-17 15:13:21.218,22.4,99.9,24
2021-11-17 15:13:19.715,22.4,99.9,24
2021-11-17 15:13:18.186,22.3,99.9,24
2021-11-17 15:13:16.683,22.3,99.9,16
2021-11-17 15:13:15.155,22.5,99.9,10
2021-11-17 15:13:13.652,22.5,99.9,18
2021-11-17 15:13:12.124,22.8,99.9,13
2021-11-17 15:13:10.624,22.8,99.9,26
2021-11-17 15:13:09.093,23.0,99.9,26
2021-11-17 15:13:07.593,23.0,99.9,26
2021-11-17 15:13:06.066,23.4,96.6,26
2021-11-17 15:13:04.562,23.4,96.6,26
2021-11-17 15:13:03.034,21.0,27.5,26
2021-11-17 15:13:01.531,21.0,27.5,18
2021-11-17 15:13:00.003,21.0,27.4,10
2021-11-17 15:12:58.499,21.0,27.4,26
2021-11-17 15:12:56.971,20.9,27.3,26
2021-11-17 15:12:55.468,20.9,27.3,26
2021-11-17 15:12:53.940,21.0,27.4,26
2021-11-17 15:12:52.437,21.0,27.4,26
2021-11-17 15:12:50.908,21.0,27.4,26
2021-11-17 15:12:49.405,21.0,27.4,26
2021-11-17 15:12:47.877,21.0,27.4,26
2021-11-17 15:12:46.378,21.0,27.4,26
2021-11-17 15:12:44.850,20.9,27.2,26
2021-11-17 15:12:43.347,20.9,27.2,26
2021-11-17 15:12:41.819,21.0,27.3,26
2021-11-17 15:12:40.315,21.0,27.3,26
2021-11-17 15:12:38.787,20.9,27.2,26
2021-11-17 15:12:37.284,20.9,27.2,26
2021-11-17 15:12:35.756,20.9,27.2,26
2021-11-17 15:12:34.253,20.9,27.2,24
2021-11-17 15:12:32.725,20.9,27.3,26
2021-11-17 15:12:31.221,20.9,27.3,25
2021-11-17 15:12:29.693,20.9,27.3,26
2021-11-17 15:12:28.194,20.9,27.3,26
2021-11-17 15:12:26.666,20.9,27.3,25
2021-11-17 15:12:25.163,20.9,27.3,25
2021-11-17 15:12:23.635,20.9,27.2,26
2021-11-17 15:12:22.131,20.9,27.2,25
2021-11-17 15:12:20.603,20.9,27.1,26
2021-11-17 15:12:19.100,20.9,27.1,26
2021-11-17 15:12:17.572,20.9,27.1,26
2021-11-17 15:12:16.069,20.9,27.1,26
2021-11-17 15:12:14.541,20.9,27.1,26
2021-11-17 15:12:13.038,20.9,27.1,25
2021-11-17 15:12:11.509,21.0,27.2,25
2021-11-17 15:12:10.010,21.0,27.2,24
2021-11-17 15:12:08.482,21.0,27.2,24
2021-11-17 15:12:06.979,21.0,27.2,24
2021-11-17 15:12:05.451,21.0,27.2,24
2021-11-17 15:12:03.948,21.0,27.2,24
2021-11-17 15:12:02.420,21.0,27.2,24
2021-11-17 15:12:00.917,21.0,27.2,24
2021-11-17 15:11:59.388,21.0,27.2,24
2021-11-17 15:11:57.885,21.0,27.2,25
2021-11-17 15:11:56.357,21.0,27.2,24
2021-11-17 15:11:54.854,21.0,27.2,24
2021-11-17 15:11:53.326,21.0,27.2,24
2021-11-17 15:11:51.827,21.0,27.2,24
2021-11-17 15:11:50.299,21.0,27.2,24
2021-11-17 15:11:48.795,21.0,27.2,24
2021-11-17 15:11:47.268,21.0,27.2,24
2021-11-17 15:11:45.764,21.0,27.2,24
2021-11-17 15:11:44.236,21.0,27.2,24
2021-11-17 15:11:42.733,21.0,27.2,24
2021-11-17 15:11:41.205,21.0,27.2,24
2021-11-17 15:11:39.702,21.0,27.2,24
2021-11-17 15:11:38.174,21.0,27.2,24
2021-11-17 15:11:36.670,21.0,27.2,25
2021-11-17 15:11:35.142,21.0,27.2,25
2021-11-17 15:11:33.643,21.0,27.2,25
2021-11-17 15:11:32.115,21.0,27.2,25
2021-11-17 15:11:30.612,21.0,27.2,25
2021-11-17 15:11:29.084,21.0,27.2,25
2021-11-17 15:11:27.581,21.0,27.2,25
2021-11-17 15:11:26.053,21.0,27.2,25
2021-11-17 15:11:24.549,21.0,27.2,25
2021-11-17 15:11:23.021,21.0,27.1,25
2021-11-17 15:11:21.518,21.0,27.1,24
2021-11-17 15:11:19.990,21.0,27.1,24
2021-11-17 15:11:18.487,21.0,27.1,24
2021-11-17 15:11:16.959,21.0,27.1,24
2021-11-17 15:11:15.460,21.0,27.1,24
2021-11-17 15:11:13.932,21.0,27.1,24
2021-11-17 15:11:12.428,21.0,27.1,24
2021-11-17 15:11:10.900,21.0,27.1,24
2021-11-17 15:11:09.397,21.0,27.1,24
2021-11-17 15:11:07.869,21.0,27.1,24
2021-11-17 15:11:06.365,21.0,27.1,24
2021-11-17 15:11:04.838,21.0,27.1,24
